matchId,date,league_id,home,away,goals_home,goals_away,referee,stat_shots_on_goal_home,stat_shots_off_goal_home,stat_total_shots_home,stat_blocked_shots_home,stat_shots_insidebox_home,stat_shots_outsidebox_home,stat_fouls_home,stat_corner_kicks_home,stat_offsides_home,stat_ball_possession_home,stat_yellow_cards_home,stat_goalkeeper_saves_home,stat_total_passes_home,stat_passes_accurate_home,stat_passes_%_home,stat_expected_goals_home,stat_goals_prevented_home,stat_shots_on_goal_away,stat_shots_off_goal_away,stat_total_shots_away,stat_blocked_shots_away,stat_shots_insidebox_away,stat_shots_outsidebox_away,stat_fouls_away,stat_corner_kicks_away,stat_offsides_away,stat_ball_possession_away,stat_yellow_cards_away,stat_goalkeeper_saves_away,stat_total_passes_away,stat_passes_accurate_away,stat_passes_%_away,stat_expected_goals_away,stat_goals_prevented_away,odds_home,odds_draw,odds_away,stat_red_cards_home,stat_red_cards_away,elo_home,elo_away,points_home_cum,points_away_cum,points_diff,form_attack_home,form_goals_home,form_attack_away,form_goals_away,goal_diff,result_label
1049182,2024-05-18 13:30:00+00:00,78,VfL Wolfsburg,FSV Mainz 05,1,3,F. Willenborg,3.0,6.0,13.0,4.0,6.0,7.0,13.0,1.0,1.0,64.0,2.0,3.0,483.0,372.0,77.0,0.76,0.0,6.0,6.0,12.0,0.0,7.0,5.0,15.0,3.0,3.0,36.0,3.0,2.0,269.0,172.0,64.0,1.8,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,1.75,2.0,0.61,1.0,-2,A
1049183,2024-05-18 13:30:00+00:00,78,1899 Hoffenheim,Bayern Munich,4,2,M. Fritz,9.0,4.0,17.0,4.0,13.0,4.0,7.0,6.0,1.0,48.0,3.0,2.0,457.0,397.0,87.0,1.78,0.0,4.0,4.0,11.0,3.0,10.0,1.0,9.0,5.0,3.0,52.0,1.0,5.0,510.0,445.0,87.0,1.52,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,0.0,0.0,1.35,2.0,2,H
1049184,2024-05-18 13:30:00+00:00,78,Werder Bremen,Vfl Bochum,4,1,M. Petersen,13.0,9.0,26.0,4.0,19.0,7.0,12.0,8.0,,46.0,1.0,6.0,358.0,273.0,76.0,3.02,0.0,7.0,12.0,27.0,8.0,21.0,6.0,12.0,8.0,,54.0,1.0,9.0,423.0,332.0,78.0,2.09,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,2.09,0.5,0.76,1.0,3,H
1049178,2024-05-18 13:30:00+00:00,78,Borussia Dortmund,SV Darmstadt 98,4,0,D. Siebert,9.0,10.0,21.0,2.0,12.0,9.0,4.0,7.0,0.0,73.0,0.0,0.0,711.0,659.0,93.0,2.57,0.0,0.0,4.0,6.0,2.0,4.0,2.0,11.0,3.0,2.0,27.0,3.0,5.0,252.0,195.0,77.0,0.32,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,1.52,2.0,0.92,0.0,4,H
1035547,2024-05-19 15:00:00+00:00,39,Burnley,Nottingham Forest,1,2,G. Scott,3.0,10.0,20.0,7.0,10.0,10.0,11.0,4.0,0.0,73.0,1.0,4.0,658.0,591.0,90.0,1.21,0.0,6.0,4.0,12.0,2.0,8.0,4.0,5.0,3.0,2.0,27.0,0.0,3.0,246.0,176.0,72.0,1.78,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,2.22,1.0,0.87,0.5,-1,A
1035551,2024-05-19 15:00:00+00:00,39,Luton,Fulham,2,4,M. Donohue,6.0,4.0,15.0,5.0,9.0,6.0,15.0,4.0,8.0,40.0,5.0,4.0,304.0,246.0,81.0,2.1,0.0,8.0,6.0,16.0,2.0,8.0,8.0,20.0,4.0,1.0,60.0,4.0,4.0,460.0,391.0,85.0,1.09,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,4.3,5.0,0.8,0.0,-2,A
1035548,2024-05-19 15:00:00+00:00,39,Chelsea,Bournemouth,2,1,A. Taylor,6.0,4.0,16.0,6.0,11.0,5.0,5.0,6.0,0.0,61.0,2.0,5.0,533.0,457.0,86.0,1.14,0.0,5.0,13.0,22.0,4.0,14.0,8.0,9.0,5.0,1.0,39.0,3.0,4.0,320.0,261.0,82.0,2.22,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,1.52,2.0,2.57,4.0,1,H
1035550,2024-05-19 15:00:00+00:00,39,Liverpool,Wolves,2,0,C. Kavanagh,14.0,12.0,36.0,10.0,27.0,9.0,14.0,10.0,3.0,67.0,1.0,2.0,621.0,568.0,91.0,4.74,3.0,3.0,0.0,4.0,1.0,3.0,1.0,10.0,2.0,2.0,33.0,1.0,11.0,303.0,231.0,76.0,0.5,3.0,0.0,0.0,0.0,0.0,1.0,1500.0,1500.0,0,0,0,1.8,1.0,3.02,4.0,2,H
1035544,2024-05-19 15:00:00+00:00,39,Arsenal,Everton,2,1,M. Oliver,5.0,11.0,26.0,10.0,21.0,5.0,8.0,8.0,1.0,69.0,4.0,1.0,653.0,583.0,89.0,3.01,0.0,2.0,2.0,5.0,1.0,3.0,2.0,11.0,1.0,4.0,31.0,3.0,4.0,300.0,215.0,72.0,0.61,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,2.59,1.0,2.64,2.0,1,H
1045185,2024-05-19 19:00:00+00:00,61,Le Havre,Marseille,1,2,J. Stinat,6.0,6.0,13.0,1.0,10.0,3.0,11.0,5.0,1.0,44.0,1.0,5.0,428.0,339.0,79.0,1.8,1.0,7.0,11.0,22.0,4.0,11.0,11.0,11.0,3.0,2.0,56.0,0.0,5.0,538.0,457.0,85.0,1.53,1.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,1.03,1.0,1.49,2.0,-1,A
